event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
RX,REAL,,3,4,48,79958.168,79455,79958.168,79255,79455,39.16800000000512,217,79958168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=4 send_ms=79255 recv_ms=79455 bytes=48
TX,REAL,6,,6,48,82379.0,81440,82379.0,,,,219,82379000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=6 bytes=48 time_ms=81440
RX,REAL,,6,6,48,82402.88,81899,82402.88,81440,81899,23.880000000004657,220,82402880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=6 send_ms=81440 recv_ms=81899 bytes=48
TX,REAL,4,,5,48,83582.0,83289,83582.0,,,,222,83582000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=5 bytes=48 time_ms=83289
RX,REAL,,4,5,48,83613.168,83110,83613.168,83289,83110,31.168000000005122,223,83613168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=5 send_ms=83289 recv_ms=83110 bytes=48
TX,REAL,7,,7,48,84190.0,83871,84190.0,,,,225,84190000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=7 bytes=48 time_ms=83871
TX,DUMMY,7,,3,48,84191.0,83872,84191.0,,,,226,84191000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=3 bytes=48 time_ms=83872
RX,REAL,,7,7,48,84205.88,83702,84205.88,83871,83702,15.880000000004657,227,84205880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=7 send_ms=83871 recv_ms=83702 bytes=48
RX,DUMMY,,7,3,48,84230.88,83727,84230.88,83872,83727,,229,84230880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=3 send_ms=83872 recv_ms=83727 bytes=48
TX,REAL,5,,5,48,87329.0,86992,87329.0,,,,231,87329000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=5 bytes=48 time_ms=86992
RX,REAL,,5,5,48,87384.168,86881,87384.168,86992,86881,55.16800000000512,232,87384168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=5 send_ms=86992 recv_ms=86881 bytes=48
TX,REAL,2,,6,48,88016.0,87153,88016.0,,,,234,88016000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=6 bytes=48 time_ms=87153
RX,REAL,,2,6,48,88043.88,87540,88043.88,87153,87540,27.880000000004657,235,88043880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=6 send_ms=87153 recv_ms=87540 bytes=48
TX,REAL,3,,5,48,89920.0,89256,89920.0,,,,237,89920000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=5 bytes=48 time_ms=89256
RX,REAL,,3,5,48,89976.168,89473,89976.168,89256,89473,56.16800000000512,238,89976168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=5 send_ms=89256 recv_ms=89473 bytes=48
TX,REAL,6,,7,48,90380.0,89441,90380.0,,,,240,90380000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=7 bytes=48 time_ms=89441
RX,REAL,,6,7,48,90386.88,89883,90386.88,89441,89883,6.880000000004657,241,90386880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=7 send_ms=89441 recv_ms=89883 bytes=48
TX,REAL,4,,6,48,93583.0,93290,93583.0,,,,243,93583000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=6 bytes=48 time_ms=93290
TX,DUMMY,4,,1,48,93584.0,93291,93584.0,,,,244,93584000	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=1 bytes=48 time_ms=93291
RX,REAL,,4,6,48,93629.168,93126,93629.168,93290,93126,46.16800000000512,245,93629168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=6 send_ms=93290 recv_ms=93126 bytes=48
RX,DUMMY,,4,1,48,93678.592,93175,93678.592,93291,93175,,248,93678592	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=1 send_ms=93291 recv_ms=93175 bytes=48
TX,REAL,7,,8,48,95192.0,94873,95192.0,,,,250,95192000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=8 bytes=48 time_ms=94873
RX,REAL,,7,8,48,95223.88,94720,95223.88,94873,94720,31.880000000004657,251,95223880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=8 send_ms=94873 recv_ms=94720 bytes=48
TX,REAL,5,,6,48,98330.0,97993,98330.0,,,,253,98330000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=6 bytes=48 time_ms=97993
TX,REAL,6,,8,48,98381.0,97442,98381.0,,,,254,98381000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=8 bytes=48 time_ms=97442
RX,REAL,,6,8,48,98405.88,97902,98405.88,97442,97902,24.880000000004657,255,98405880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=8 send_ms=97442 recv_ms=97902 bytes=48
RX,REAL,,5,6,48,98410.048,97907,98410.048,97993,97907,80.04799999999523,256,98410048	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=6 send_ms=97993 recv_ms=97907 bytes=48
TX,REAL,3,,6,48,99921.0,99257,99921.0,,,,259,99921000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=6 bytes=48 time_ms=99257
TX,DUMMY,3,,1,48,99922.0,99258,99922.0,,,,260,99922000	ID:3	[INFO: Metric    ] METRIC_TX type=DUMMY node=3 seq=1 bytes=48 time_ms=99258
RX,REAL,,3,6,48,99968.168,99465,99968.168,99257,99465,47.16800000000512,261,99968168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=6 send_ms=99257 recv_ms=99465 bytes=48
RX,DUMMY,,3,1,48,100003.168,99500,100003.168,99258,99500,,262,100003168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=3 seq=1 send_ms=99258 recv_ms=99500 bytes=48
