event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,4,,6,48,102081.424,101133,102081.424,,,,266,102081424	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=6 bytes=48 time_ms=101133
RX,REAL,,4,6,48,102121.168,101690,102121.168,101133,101690,39.744000000006054,267,102121168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=6 send_ms=101133 recv_ms=101690 bytes=48
TX,REAL,5,,7,48,103064.0,102094,103064.0,,,,269,103064000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=7 bytes=48 time_ms=102094
RX,REAL,,5,7,48,103108.168,102677,103108.168,102094,102677,44.16800000000512,270,103108168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=7 send_ms=102094 recv_ms=102677 bytes=48
TX,REAL,6,,8,48,104836.0,104748,104836.0,,,,272,104836000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=8 bytes=48 time_ms=104748
TX,DUMMY,6,,2,48,104837.0,104749,104837.0,,,,273,104837000	ID:6	[INFO: Metric    ] METRIC_TX type=DUMMY node=6 seq=2 bytes=48 time_ms=104749
RX,REAL,,6,8,48,104874.88,104443,104874.88,104748,104443,38.88000000000466,274,104874880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=8 send_ms=104748 recv_ms=104443 bytes=48
RX,DUMMY,,6,2,48,104903.88,104472,104903.88,104749,104472,,277,104903880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=6 seq=2 send_ms=104749 recv_ms=104472 bytes=48
TX,REAL,2,,9,48,107379.0,106986,107379.0,,,,279,107379000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=9 bytes=48 time_ms=106986
RX,REAL,,2,9,48,107417.88,106986,107417.88,106986,106986,38.88000000000466,280,107417880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=9 send_ms=106986 recv_ms=106986 bytes=48
TX,REAL,7,,9,48,109066.0,109044,109066.0,,,,282,109066000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=9 bytes=48 time_ms=109044
RX,REAL,,7,9,48,109105.88,108674,109105.88,109044,108674,39.88000000000466,283,109105880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=9 send_ms=109044 recv_ms=108674 bytes=48
TX,REAL,4,,7,48,111082.0,110133,111082.0,,,,285,111082000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=7 bytes=48 time_ms=110133
RX,REAL,,4,7,48,111148.168,110717,111148.168,110133,110717,66.16800000000512,286,111148168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=7 send_ms=110133 recv_ms=110717 bytes=48
