dataset,profile_name,model_type,mode,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,mean_baseline_acc,mean_defended_acc,mean_accuracy_drop,mean_defended_f1_macro,mean_mse,mean_mae,mean_pearson_r,num_seeds,source_file
kasteren,adaptive_traffic_only,lstm,fixed_attacker,0.4,4.0,0.0,1.0,False,0.35405872193436955,0.07426597582037993,0.2797927461139896,0.0627126414461474,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_traffic_only,lstm,retrain_attacker,0.4,4.0,0.0,1.0,False,0.12435233160621756,0.08635578583765106,0.03799654576856647,0.048277552443087866,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_traffic_only,mlp,fixed_attacker,0.4,4.0,0.0,1.0,False,0.17962003454231426,0.031088082901554365,0.1485319516407599,0.006131883138267134,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_traffic_only,mlp,retrain_attacker,0.4,4.0,0.0,1.0,False,0.03799654576856647,0.034542314335060435,0.0034542314335060335,0.0027465923824420003,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_edge_cap_on,lstm,fixed_attacker,0.4,4.0,0.5,0.5,True,0.35405872193436955,0.07426597582037993,0.2797927461139896,0.0627126414461474,0.21538085813823507,0.24101252835988082,0.44957677420855896,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_edge_cap_on,lstm,retrain_attacker,0.4,4.0,0.5,0.5,True,0.12435233160621756,0.08635578583765106,0.03799654576856647,0.04848108486722987,0.21538085813823507,0.24101252835988082,0.44957677420855896,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_edge_cap_on,mlp,fixed_attacker,0.4,4.0,0.5,0.5,True,0.17962003454231426,0.031088082901554365,0.1485319516407599,0.006131883138267134,0.21538085813823507,0.24101252835988082,0.44957677420855896,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_edge_cap_on,mlp,retrain_attacker,0.4,4.0,0.5,0.5,True,0.03799654576856647,0.034542314335060435,0.0034542314335060335,0.0027465923824420003,0.21538085813823507,0.24101252835988082,0.44957677420855896,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_default,lstm,fixed_attacker,0.4,4.0,0.5,0.5,False,0.6982241827847528,0.40945594389774903,0.2887682388870037,0.334757548525197,0.7143550622903391,0.39118095976149414,0.31015652761147466,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_default,lstm,retrain_attacker,0.4,4.0,0.5,0.5,False,0.3862685216604456,0.6144101346001584,-0.2281416129397127,0.5604235725585195,0.7143550622903391,0.39118095976149414,0.31015652761147466,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_default,mlp,fixed_attacker,0.4,4.0,0.5,0.5,False,0.8061305282207895,0.25766316027598685,0.5484673679448027,0.18371026777985663,0.7143550622903391,0.39118095976149414,0.31015652761147466,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
uci_har,adaptive_default,mlp,retrain_attacker,0.4,4.0,0.5,0.5,False,0.25992534781133353,0.7119104173736003,-0.4519850695622667,0.69794992475749,0.7143550622903391,0.39118095976149414,0.31015652761147466,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
